,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2.AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
21237,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/25/2008,Parts per billion,16.956522,31,21,29,Parts per million,0.030375,0.038,10,32,Parts per billion,3.130435,8,14,11,Parts per million,0.441667,0.5,0,6
21241,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/26/2008,Parts per billion,11.25,21,20,20,Parts per million,0.026769,0.033,13,28,Parts per billion,1.6875,5,15,7,Parts per million,0.284615,0.3,0,3
21245,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/27/2008,Parts per billion,16.105263,33,21,31,Parts per million,0.0295,0.041,9,35,Parts per billion,2.105263,8,11,11,Parts per million,0.35625,0.5,6,6
21249,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/28/2008,Parts per billion,17.5,31,6,29,Parts per million,0.038471,0.052,12,44,Parts per billion,2.45,6,11,9,Parts per million,0.411765,0.5,7,6
21253,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/29/2008,Parts per billion,9.043478,20,14,19,Parts per million,0.033625,0.047,8,40,Parts per billion,1.565217,3,12,4,Parts per million,0.308333,0.4,13,5
21257,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/30/2008,Parts per billion,7.478261,15,6,14,Parts per million,0.032917,0.045,10,38,Parts per billion,1.608696,4,0,6,Parts per million,0.2375,0.3,9,3
21261,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/31/2008,Parts per billion,17.173913,33,6,31,Parts per million,0.028458,0.042,10,36,Parts per billion,1.521739,3,12,4,Parts per million,0.3625,0.4,5,5
21265,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/1/2008,Parts per billion,23.352941,37,7,35,Parts per million,0.025643,0.04,12,34,Parts per billion,1.764706,4,7,6,Parts per million,0.364286,0.6,7,7
21269,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/2/2008,Parts per billion,23.478261,37,0,35,Parts per million,0.023792,0.032,10,27,Parts per billion,2.956522,7,11,10,Parts per million,0.341667,0.4,10,5
21273,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/3/2008,Parts per billion,13.411765,31,6,29,Parts per million,0.022929,0.027,15,23,Parts per billion,1.705882,4,6,6,Parts per million,0.257143,0.4,8,5
