,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2.AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
13355,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/1/2000,Parts per billion,33.391304,44,21,42,Parts per million,0.00775,0.015,23,13,Parts per billion,0.73913,3,21,4,Parts per million,0.811111,2,6,23
13359,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/2/2000,Parts per billion,19.434783,46,23,43,Parts per million,0.018375,0.033,6,28,Parts per billion,0.391304,2,15,3,Parts per million,0.2375,0.6,3,7
13363,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/3/2000,Parts per billion,49.695652,63,17,61,Parts per million,0.003875,0.009,8,8,Parts per billion,1.652174,4,14,6,Parts per million,1.5,2.3,10,26
13367,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/4/2000,Parts per billion,50.217391,70,0,68,Parts per million,0.00375,0.009,9,8,Parts per billion,1.521739,4,8,6,Parts per million,1.916667,2.9,4,33
13371,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/5/2000,Parts per billion,60.73913,101,13,101,Parts per million,0.0035,0.006,21,5,Parts per billion,4.173913,27,13,39,Parts per million,2.4875,3.9,8,44
13375,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/6/2000,Parts per billion,58.521739,73,8,71,Parts per million,0.004417,0.011,9,9,Parts per billion,3.913043,11,12,16,Parts per million,1.325,2.7,10,31
13379,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/7/2000,Parts per billion,54.217391,84,10,83,Parts per million,0.002375,0.005,8,4,Parts per billion,2.782609,6,13,9,Parts per million,1.825,2.5,4,28
13383,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/8/2000,Parts per billion,60.347826,75,10,73,Parts per million,0.003625,0.009,9,8,Parts per billion,2.434783,4,3,6,Parts per million,2.266667,3.7,6,42
13387,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/9/2000,Parts per billion,63.782609,79,11,78,Parts per million,0.003333,0.007,8,6,Parts per billion,7.086957,46,12,64,Parts per million,1.95,3.1,7,35
13391,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/10/2000,Parts per billion,59.086957,79,11,78,Parts per million,0.002208,0.006,12,5,Parts per billion,0.347826,2,9,3,Parts per million,1.7375,2.8,4,32
13395,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/11/2000,Parts per billion,58.73913,79,11,78,Parts per million,0.0015,0.004,5,3,Parts per billion,0.434783,4,8,6,Parts per million,0.55,1,10,11
13399,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/12/2000,Parts per billion,39.913043,62,14,60,Parts per million,0.00275,0.005,8,4,Parts per billion,0.73913,5,14,7,Parts per million,0.604167,1.1,14,13
13403,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/13/2000,Parts per billion,59.086957,97,10,97,Parts per million,0.00325,0.007,8,6,Parts per billion,1.347826,5,8,7,Parts per million,1.825,3.6,10,41
13407,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/14/2000,Parts per billion,63.652174,128,11,106,Parts per million,0.002667,0.006,8,5,Parts per billion,2.869565,8,11,11,Parts per million,2.195833,3.3,11,38
13411,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/15/2000,Parts per billion,59.26087,74,0,72,Parts per million,0.004833,0.011,9,9,Parts per billion,1.913043,5,0,7,Parts per million,2.158333,4.2,4,48
13415,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/16/2000,Parts per billion,39.434783,58,9,55,Parts per million,0.003917,0.009,8,8,Parts per billion,2.478261,9,16,13,Parts per million,0.758333,1.2,23,14
13419,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/17/2000,Parts per billion,59,85,15,84,Parts per million,0.001,0.001,0,1,Parts per billion,2.695652,4,0,6,Parts per million,2.8125,5.6,23,62
13423,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/18/2000,Parts per billion,37.565217,56,9,53,Parts per million,0.003667,0.009,8,8,Parts per billion,1.521739,4,7,6,Parts per million,2.291667,5.7,0,63
13427,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/19/2000,Parts per billion,34.826087,66,10,64,Parts per million,0.005958,0.01,10,8,Parts per billion,0.73913,3,8,4,Parts per million,1.2375,2.6,10,30
13431,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/20/2000,Parts per billion,27.565217,34,17,32,Parts per million,0.006292,0.011,9,9,Parts per billion,1.173913,11,12,16,Parts per million,0.579167,0.8,11,9
13435,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/21/2000,Parts per billion,30.217391,45,19,42,Parts per million,0.007417,0.016,10,14,Parts per billion,1.652174,6,3,9,Parts per million,0.683333,1.1,23,13
13439,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/22/2000,Parts per billion,33.521739,43,21,41,Parts per million,0.007542,0.016,9,14,Parts per billion,0.826087,4,13,6,Parts per million,0.95,1.1,0,13
13443,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/23/2000,Parts per billion,45.130435,64,13,62,Parts per million,0.003958,0.009,8,8,Parts per billion,1.043478,2,5,3,Parts per million,1.6875,2.5,9,28
13447,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/24/2000,Parts per billion,54.130435,119,13,104,Parts per million,0.002333,0.005,7,4,Parts per billion,2.608696,10,15,14,Parts per million,2.204167,3.7,10,42
13451,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/25/2000,Parts per billion,31.130435,43,0,41,Parts per million,0.004792,0.01,21,8,Parts per billion,0.26087,2,21,3,Parts per million,1.066667,1.7,0,19
13455,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/26/2000,Parts per billion,28.391304,44,18,42,Parts per million,0.008625,0.02,9,17,Parts per billion,0.782609,3,18,4,Parts per million,0.704167,1.1,8,13
13459,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/27/2000,Parts per billion,40.347826,54,13,51,Parts per million,0.005,0.012,9,10,Parts per billion,1.956522,9,13,13,Parts per million,0.8375,1.3,1,15
13463,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/28/2000,Parts per billion,53.478261,90,13,89,Parts per million,0.004,0.01,10,8,Parts per billion,2.608696,14,13,20,Parts per million,1.608333,2.6,8,30
13467,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/29/2000,Parts per billion,41.695652,57,16,54,Parts per million,0.011625,0.023,12,19,Parts per billion,2.521739,13,10,19,Parts per million,0.695833,1.1,0,13
13471,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/30/2000,Parts per billion,20.565217,39,1,37,Parts per million,0.018583,0.029,11,25,Parts per billion,0.217391,2,5,3,Parts per million,0.0625,0.1,0,1
13475,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/31/2000,Parts per billion,32.043478,48,18,45,Parts per million,0.008125,0.016,9,14,Parts per billion,2.304348,10,10,14,Parts per million,0.216667,1,23,11
13479,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/1/2000,Parts per billion,51.304348,67,14,65,Parts per million,0.0045,0.01,9,8,Parts per billion,2.913043,10,14,14,Parts per million,1.604167,2.4,23,27
13483,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/2/2000,Parts per billion,49.26087,65,0,63,Parts per million,0.007292,0.018,10,15,Parts per billion,1.913043,7,16,10,Parts per million,1.970833,3.6,4,41
13487,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/3/2000,Parts per billion,46.695652,63,0,61,Parts per million,0.0085,0.021,9,18,Parts per billion,1.478261,5,17,7,Parts per million,1.354167,2.4,4,27
13491,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/4/2000,Parts per billion,40.695652,54,0,51,Parts per million,0.008375,0.016,9,14,Parts per billion,0.869565,4,19,6,Parts per million,0.945833,1.3,3,15
13495,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/5/2000,Parts per billion,27.652174,46,21,43,Parts per million,0.012625,0.025,11,21,Parts per billion,0.695652,6,13,9,Parts per million,0.320833,0.8,0,9
13499,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/6/2000,Parts per billion,32.043478,52,15,49,Parts per million,0.015125,0.034,12,29,Parts per billion,0.565217,3,15,4,Parts per million,0.854167,1.6,9,18
13503,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/7/2000,Parts per billion,56.304348,95,11,95,Parts per million,0.006833,0.017,10,14,Parts per billion,3.304348,13,23,19,Parts per million,1.575,2.5,11,28
13507,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/8/2000,Parts per billion,49.347826,77,17,76,Parts per million,0.005042,0.009,16,8,Parts per billion,5.565217,15,16,21,Parts per million,1.741667,2.3,4,26
13511,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/9/2000,Parts per billion,34.73913,54,8,51,Parts per million,0.009917,0.016,11,14,Parts per billion,1.26087,4,11,6,Parts per million,0.9,1.8,11,20
13515,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/10/2000,Parts per billion,19.956522,30,16,28,Parts per million,0.014833,0.02,15,17,Parts per billion,0.869565,2,3,3,Parts per million,0.304167,0.5,18,6
13519,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/11/2000,Parts per billion,31,50,17,47,Parts per million,0.012458,0.028,23,24,Parts per billion,1.391304,5,13,7,Parts per million,0.770833,1.3,11,15
13523,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/12/2000,Parts per billion,9.73913,23,22,22,Parts per million,0.026458,0.033,8,28,Parts per billion,0.565217,3,9,4,Parts per million,0.229167,0.6,0,7
13527,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/13/2000,Parts per billion,9.478261,22,3,21,Parts per million,0.021625,0.028,10,24,Parts per billion,0.043478,1,5,1,Parts per million,0.2375,0.3,10,3
13531,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/14/2000,Parts per billion,17.173913,34,18,32,Parts per million,0.008375,0.015,0,13,Parts per billion,0.695652,10,23,14,Parts per million,0.3625,0.5,13,6
13535,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/15/2000,Parts per billion,31.434783,47,12,44,Parts per million,0.007,0.012,10,10,Parts per billion,2,10,0,14,Parts per million,0.7125,1,11,11
13539,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/16/2000,Parts per billion,24.521739,46,6,43,Parts per million,0.016958,0.024,21,20,Parts per billion,0.782609,3,7,4,Parts per million,0.595833,0.8,0,9
13543,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/17/2000,Parts per billion,25.043478,42,7,40,Parts per million,0.014417,0.029,9,25,Parts per billion,0.608696,2,14,3,Parts per million,0.675,1,9,11
13547,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/18/2000,Parts per billion,40,60,17,57,Parts per million,0.002313,0.008,12,7,Parts per billion,1,3,8,4,Parts per million,1.425,2.1,9,24
13551,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/19/2000,Parts per billion,25.347826,46,17,43,Parts per million,0.023458,0.035,9,30,Parts per billion,0.217391,1,5,1,Parts per million,0.875,1.7,0,19
13555,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/20/2000,Parts per billion,3.782609,13,20,12,Parts per million,0.030667,0.035,21,30,Parts per billion,0.086957,1,20,1,Parts per million,0.033333,0.3,0,3
13559,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/21/2000,Parts per billion,19.826087,40,21,38,Parts per million,0.014208,0.029,0,25,Parts per billion,0.130435,1,13,1,Parts per million,0.266667,0.9,23,10
13563,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/22/2000,Parts per billion,31,47,22,44,Parts per million,0.0045,0.014,6,12,Parts per billion,0.304348,1,5,1,Parts per million,1.079167,1.6,7,18
13567,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/23/2000,Parts per billion,22.391304,39,0,37,Parts per million,0.009833,0.02,15,17,Parts per billion,0.043478,1,15,1,Parts per million,0.675,1.4,1,16
13571,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/24/2000,Parts per billion,27.73913,42,2,40,Parts per million,0.017154,0.025,23,21,Parts per billion,0.26087,1,2,1,Parts per million,0.520833,1.2,9,14
13575,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/25/2000,Parts per billion,27.73913,42,2,40,Parts per million,0.013083,0.024,0,20,Parts per billion,1.043478,6,18,9,Parts per million,0.508333,1.2,9,14
13579,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/26/2000,Parts per billion,27.73913,42,2,40,Parts per million,0.011083,0.026,11,22,Parts per billion,2.173913,6,12,9,Parts per million,0.508333,1.2,9,14
13583,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/27/2000,Parts per billion,24.695652,36,0,34,Parts per million,0.018917,0.027,10,23,Parts per billion,0.608696,2,7,3,Parts per million,0.445833,0.8,7,9
13587,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/28/2000,Parts per billion,32.434783,43,8,41,Parts per million,0.009333,0.019,9,16,Parts per billion,0.869565,4,12,6,Parts per million,0.745833,1.5,11,17
13591,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/29/2000,Parts per billion,34.782609,63,11,61,Parts per million,0.014583,0.022,13,19,Parts per billion,1.826087,9,11,13,Parts per million,1.125,1.9,8,22
13595,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/1/2000,Parts per billion,31.826087,60,20,57,Parts per million,0.012875,0.027,10,23,Parts per billion,0.521739,4,13,6,Parts per million,0.2875,0.6,8,7
13599,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/2/2000,Parts per billion,44.217391,76,9,74,Parts per million,0.015,0.025,10,21,Parts per billion,2.173913,8,12,11,Parts per million,1.070833,2.2,8,25
13603,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/3/2000,Parts per billion,24.217391,36,5,34,Parts per million,0.019458,0.032,9,27,Parts per billion,0.217391,2,0,3,Parts per million,0.058333,0.1,0,1
13607,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/4/2000,Parts per billion,31.217391,44,11,42,Parts per million,0.017,0.027,21,23,Parts per billion,0.956522,4,14,6,Parts per million,0.270833,0.6,10,7
13611,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/5/2000,Parts per billion,14.565217,23,18,22,Parts per million,0.027625,0.035,9,30,Parts per billion,1,9,11,13,Parts per million,0,0,0,0
13615,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/6/2000,Parts per billion,28.521739,46,18,43,Parts per million,0.01675,0.033,9,28,Parts per billion,0.913043,5,18,7,Parts per million,0.179167,0.8,23,9
13619,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/7/2000,Parts per billion,29.478261,41,1,39,Parts per million,0.016917,0.025,21,21,Parts per billion,0.695652,2,15,3,Parts per million,0.645833,1.3,3,15
13623,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/8/2000,Parts per billion,22.26087,38,19,36,Parts per million,0.016083,0.027,9,23,Parts per billion,0.26087,2,15,3,Parts per million,0.025,0.1,0,1
13627,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/9/2000,Parts per billion,30.304348,40,1,38,Parts per million,0.014167,0.029,12,25,Parts per billion,0.434783,2,11,3,Parts per million,0.304167,0.6,7,7
13631,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/10/2000,Parts per billion,41.391304,59,9,56,Parts per million,0.011125,0.028,10,24,Parts per billion,0.782609,3,7,4,Parts per million,0.808333,1.7,9,19
13635,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/11/2000,Parts per billion,38.869565,59,0,56,Parts per million,0.016958,0.039,10,33,Parts per billion,1.217391,4,5,6,Parts per million,0.895833,1.7,7,19
13639,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/12/2000,Parts per billion,27.26087,39,18,37,Parts per million,0.022667,0.035,21,30,Parts per billion,1.434783,5,18,7,Parts per million,0.545833,1.4,7,16
13643,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/13/2000,Parts per billion,25.217391,40,17,38,Parts per million,0.024958,0.035,0,30,Parts per billion,1.304348,10,11,14,Parts per million,0.216667,0.6,11,7
13647,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/14/2000,Parts per billion,51.826087,96,10,96,Parts per million,0.025375,0.065,23,67,Parts per billion,4.869565,21,10,30,Parts per million,0.6375,1.4,11,16
13651,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/15/2000,Parts per billion,28.826087,54,13,51,Parts per million,0.051417,0.066,0,71,Parts per billion,1.173913,9,14,13,Parts per million,0.154167,0.2,0,2
13655,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/16/2000,Parts per billion,24.608696,64,17,62,Parts per million,0.040375,0.051,21,43,Parts per billion,1.217391,8,11,11,Parts per million,0.2875,0.6,17,7
13659,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/17/2000,Parts per billion,33.565217,57,23,54,Parts per million,0.025625,0.044,0,37,Parts per billion,2.391304,10,11,14,Parts per million,0.433333,1.3,23,15
13663,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/18/2000,Parts per billion,38.695652,60,21,57,Parts per million,0.027792,0.051,11,43,Parts per billion,2.26087,17,12,24,Parts per million,0.870833,1.5,0,17
13667,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/19/2000,Parts per billion,33.608696,59,0,56,Parts per million,0.028125,0.043,11,36,Parts per billion,3.043478,14,13,20,Parts per million,0.8625,1.5,4,17
13671,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/20/2000,Parts per billion,20.695652,43,19,41,Parts per million,0.024667,0.041,10,35,Parts per billion,0.347826,5,5,7,Parts per million,0.070833,0.2,0,2
13675,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/21/2000,Parts per billion,31.391304,50,7,47,Parts per million,0.019542,0.031,10,26,Parts per billion,1.826087,12,7,17,Parts per million,0.216667,0.6,7,7
13679,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/22/2000,Parts per billion,43.782609,57,20,54,Parts per million,0.014333,0.031,11,26,Parts per billion,3.478261,20,11,29,Parts per million,0.354167,0.7,8,8
13683,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/23/2000,Parts per billion,31.217391,45,0,42,Parts per million,0.02275,0.035,12,30,Parts per billion,1.869565,11,11,16,Parts per million,0.3125,0.7,8,8
13687,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/24/2000,Parts per billion,25.652174,41,8,39,Parts per million,0.02225,0.035,10,30,Parts per billion,0.913043,3,5,4,Parts per million,0.058333,0.2,9,2
13691,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/25/2000,Parts per billion,24.826087,42,2,40,Parts per million,0.022875,0.041,12,35,Parts per billion,1.347826,7,11,10,Parts per million,0.1,0.3,7,3
13695,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/26/2000,Parts per billion,27.869565,42,1,40,Parts per million,0.025042,0.043,12,36,Parts per billion,2.782609,16,11,23,Parts per million,0.1375,0.4,7,5
13699,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/27/2000,Parts per billion,26,49,13,46,Parts per million,0.022917,0.031,9,26,Parts per billion,0.913043,5,5,7,Parts per million,0.041667,0.1,14,1
13703,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/28/2000,Parts per billion,29.086957,42,8,40,Parts per million,0.015625,0.027,11,23,Parts per billion,1.478261,7,16,10,Parts per million,0.183333,0.4,9,5
13707,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/29/2000,Parts per billion,27.913043,43,23,41,Parts per million,0.020125,0.034,10,29,Parts per billion,0.521739,3,5,4,Parts per million,0.091667,0.2,10,2
13711,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/30/2000,Parts per billion,35.478261,47,7,44,Parts per million,0.018208,0.039,11,33,Parts per billion,1.869565,7,10,10,Parts per million,0.3,0.8,10,9
13715,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/31/2000,Parts per billion,34.869565,48,9,45,Parts per million,0.022708,0.044,10,37,Parts per billion,1,5,21,7,Parts per million,0.283333,0.7,9,8
13719,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/1/2000,Parts per billion,42.869565,76,19,74,Parts per million,0.034708,0.049,14,42,Parts per billion,1.347826,10,10,14,Parts per million,0.166667,0.4,7,5
13723,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/2/2000,Parts per billion,42.869565,76,19,74,Parts per million,0.038917,0.054,9,46,Parts per billion,0.782609,4,16,6,Parts per million,0.120833,0.3,7,3
13727,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/3/2000,Parts per billion,42.869565,76,19,74,Parts per million,0.025042,0.033,9,28,Parts per billion,1,6,10,9,Parts per million,0.220833,0.5,13,6
13731,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/4/2000,Parts per billion,42.869565,76,19,74,Parts per million,0.02275,0.044,11,37,Parts per billion,1.347826,12,10,17,Parts per million,0.370833,0.8,10,9
13735,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/5/2000,Parts per billion,24.26087,38,8,36,Parts per million,0.024125,0.041,22,35,Parts per billion,1.478261,8,8,11,Parts per million,0.4,0.5,8,6
13739,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/6/2000,Parts per billion,20.347826,35,10,33,Parts per million,0.034875,0.042,13,36,Parts per billion,0.347826,2,11,3,Parts per million,0.408333,0.6,15,7
13743,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/7/2000,Parts per billion,24.26087,42,10,40,Parts per million,0.033,0.048,12,41,Parts per billion,1.217391,7,11,10,Parts per million,0.5,0.7,15,8
13747,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/8/2000,Parts per billion,29.869565,68,10,66,Parts per million,0.024292,0.045,9,38,Parts per billion,1.913043,17,10,24,Parts per million,0.65,1.2,11,14
13751,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/9/2000,Parts per billion,22.391304,40,19,38,Parts per million,0.023958,0.041,10,35,Parts per billion,1.391304,7,12,10,Parts per million,0.454167,0.5,0,6
13755,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/10/2000,Parts per billion,23,40,22,38,Parts per million,0.023333,0.037,10,31,Parts per billion,0.913043,5,12,7,Parts per million,0.525,0.7,15,8
13759,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/11/2000,Parts per billion,35.695652,53,12,50,Parts per million,0.018417,0.037,12,31,Parts per billion,3.608696,15,12,21,Parts per million,0.7875,1.1,11,13
13763,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/12/2000,Parts per billion,38.652174,57,12,54,Parts per million,0.023708,0.037,14,31,Parts per billion,1.956522,13,12,19,Parts per million,0.8875,1.2,13,14
13767,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/13/2000,Parts per billion,21.173913,42,10,40,Parts per million,0.025917,0.035,1,30,Parts per billion,1.043478,7,10,10,Parts per million,0.404167,0.7,0,8
13771,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/14/2000,Parts per billion,17.521739,31,23,29,Parts per million,0.020958,0.033,8,28,Parts per billion,0.304348,2,19,3,Parts per million,0.079167,0.2,11,2
